,state,county_and_city,censusIncome,B19013_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E
33,Texas,Harris County,"                                                    B19013_001E  B23025_002E  \
Harris County, Texas: Summary level: 050, state...        61618      2424245   

                                                    B23025_003E  B23025_004E  \
Harris County, Texas: Summary level: 050, state...      2421915      2295580   

                                                    B23025_005E  B23025_006E  \
Harris County, Texas: Summary level: 050, state...       126335         2330   

                                                    B23025_007E  
Harris County, Texas: Summary level: 050, state...      1180267  ",61618,2424245.0,2421915.0,2295580.0,126335.0,2330.0,1180267.0
34,Texas,Dallas County,"                                                    B19013_001E  B23025_002E  \
Dallas County, Texas: Summary level: 050, state...        61796      1394210   

                                                    B23025_003E  B23025_004E  \
Dallas County, Texas: Summary level: 050, state...      1392778      1331184   

                                                    B23025_005E  B23025_006E  \
Dallas County, Texas: Summary level: 050, state...        61594         1432   

                                                    B23025_007E  
Dallas County, Texas: Summary level: 050, state...       636672  ",61796,1394210.0,1392778.0,1331184.0,61594.0,1432.0,636672.0
35,Texas,Johnson County,"                                                    B19013_001E  B23025_002E  \
Johnson County, Texas: Summary level: 050, stat...        66319        87041   

                                                    B23025_003E  B23025_004E  \
Johnson County, Texas: Summary level: 050, stat...        86672        84483   

                                                    B23025_005E  B23025_006E  \
Johnson County, Texas: Summary level: 050, stat...         2189          369   

                                                    B23025_007E  
Johnson County, Texas: Summary level: 050, stat...        49131  ",66319,87041.0,86672.0,84483.0,2189.0,369.0,49131.0
36,Texas,McLennan County,"                                                    B19013_001E  B23025_002E  \
McLennan County, Texas: Summary level: 050, sta...        50845       118192   

                                                    B23025_003E  B23025_004E  \
McLennan County, Texas: Summary level: 050, sta...       117975       114666   

                                                    B23025_005E  B23025_006E  \
McLennan County, Texas: Summary level: 050, sta...         3309          217   

                                                    B23025_007E  
McLennan County, Texas: Summary level: 050, sta...        81718  ",50845,118192.0,117975.0,114666.0,3309.0,217.0,81718.0
37,Texas,Montgomery County,"                                                    B19013_001E  B23025_002E  \
Montgomery County, Texas: Summary level: 050, s...        88695       302024   

                                                    B23025_003E  B23025_004E  \
Montgomery County, Texas: Summary level: 050, s...       301913       291487   

                                                    B23025_005E  B23025_006E  \
Montgomery County, Texas: Summary level: 050, s...        10426          111   

                                                    B23025_007E  
Montgomery County, Texas: Summary level: 050, s...       163739  ",88695,302024.0,301913.0,291487.0,10426.0,111.0,163739.0
38,Texas,Webb County,"                                                    B19013_001E  B23025_002E  \
Webb County, Texas: Summary level: 050, state:4...        56084       122883   

                                                    B23025_003E  B23025_004E  \
Webb County, Texas: Summary level: 050, state:4...       122883       117386   

                                                    B23025_005E  B23025_006E  \
Webb County, Texas: Summary level: 050, state:4...         5497            0   

                                                    B23025_007E  
Webb County, Texas: Summary level: 050, state:4...        74413  ",56084,122883.0,122883.0,117386.0,5497.0,0.0,74413.0
39,Texas,Jefferson County,"                                                    B19013_001E  B23025_002E  \
Jefferson County, Texas: Summary level: 050, st...        55797       109945   

                                                    B23025_003E  B23025_004E  \
Jefferson County, Texas: Summary level: 050, st...       109813       106369   

                                                    B23025_005E  B23025_006E  \
Jefferson County, Texas: Summary level: 050, st...         3444          132   

                                                    B23025_007E  
Jefferson County, Texas: Summary level: 050, st...        87347  ",55797,109945.0,109813.0,106369.0,3444.0,132.0,87347.0
40,Illinois,Adams County,"                                                    B19013_001E  B23025_002E  \
Adams County, Illinois: Summary level: 050, sta...        55727        34400   

                                                    B23025_003E  B23025_004E  \
Adams County, Illinois: Summary level: 050, sta...        34400        33001   

                                                    B23025_005E  B23025_006E  \
Adams County, Illinois: Summary level: 050, sta...         1399            0   

                                                    B23025_007E  
Adams County, Illinois: Summary level: 050, sta...        18304  ",55727,34400.0,34400.0,33001.0,1399.0,0.0,18304.0
41,Illinois,DeKalb County,"                                                    B19013_001E  B23025_002E  \
DeKalb County, Illinois: Summary level: 050, st...        64131        59412   

                                                    B23025_003E  B23025_004E  \
DeKalb County, Illinois: Summary level: 050, st...        59148        55817   

                                                    B23025_005E  B23025_006E  \
DeKalb County, Illinois: Summary level: 050, st...         3331          264   

                                                    B23025_007E  
DeKalb County, Illinois: Summary level: 050, st...        25222  ",64131,59412.0,59148.0,55817.0,3331.0,264.0,25222.0
42,Illinois,Vermilion County,"                                                    B19013_001E  B23025_002E  \
Vermilion County, Illinois: Summary level: 050,...        43111        33256   

                                                    B23025_003E  B23025_004E  \
Vermilion County, Illinois: Summary level: 050,...        33236        30492   

                                                    B23025_005E  B23025_006E  \
Vermilion County, Illinois: Summary level: 050,...         2744           20   

                                                    B23025_007E  
Vermilion County, Illinois: Summary level: 050,...        26331  ",43111,33256.0,33236.0,30492.0,2744.0,20.0,26331.0
